typesafe-mario 可视化服务
  绑定地址   127.0.0.1:8770
  本机访问   http://127.0.0.1:8770/
  模拟器     真实 gym_super_mario_bros + 内置 NES ROM（8 帧/决策）
  模型应答   本地 pilot 替身（非真实 TypeSafe API），模拟往返 60ms
  画面速率   30 帧/秒（网页上可调）
  按 Ctrl+C 结束
#0000 x=0040 action=right_run       confidence=0.88 latency=67ms
#0001 x=0041 action=right_run       confidence=0.88 latency=66ms
#0002 x=0048 action=right_run       confidence=0.88 latency=67ms
#0003 x=0062 action=right_run       confidence=0.88 latency=66ms
#0004 x=0084 action=right_run       confidence=0.88 latency=61ms
#0005 x=0108 action=right_run       confidence=0.88 latency=64ms
#0006 x=0132 action=right_run       confidence=0.88 latency=66ms
#0007 x=0156 action=right_run       confidence=0.88 latency=62ms
#0008 x=0180 action=right_run       confidence=0.88 latency=66ms
#0009 x=0204 action=right_run       confidence=0.88 latency=63ms
#0010 x=0228 action=right_run       confidence=0.88 latency=66ms
#0011 x=0252 action=right_run       confidence=0.88 latency=64ms
#0012 x=0276 action=right_run_jump  confidence=0.88 latency=66ms
#0013 x=0300 action=right_run_jump  confidence=0.88 latency=66ms
#0014 x=0310 action=right_run_jump  confidence=0.88 latency=65ms
#0015 x=0315 action=right_run_jump  confidence=0.88 latency=65ms
#0016 x=0325 action=right_run_jump  confidence=0.88 latency=66ms
#0017 x=0342 action=right_run       confidence=0.88 latency=66ms
#0018 x=0364 action=right_run       confidence=0.88 latency=65ms
#0019 x=0388 action=right_run       confidence=0.88 latency=66ms
#0020 x=0412 action=right_run       confidence=0.88 latency=66ms
#0021 x=0435 action=right_run       confidence=0.88 latency=66ms
#0022 x=0434 action=right_run_jump  confidence=0.88 latency=65ms
#0023 x=0434 action=right_run_jump  confidence=0.88 latency=66ms
#0024 x=0436 action=right_run_jump  confidence=0.88 latency=65ms
#0025 x=0443 action=right_run_jump  confidence=0.88 latency=64ms
#0026 x=0454 action=right_run_jump  confidence=0.88 latency=63ms
#0027 x=0468 action=right_run_jump  confidence=0.88 latency=66ms
#0028 x=0485 action=right_run_jump  confidence=0.88 latency=66ms
#0029 x=0508 action=right_run_jump  confidence=0.88 latency=66ms
#0030 x=0532 action=right_run_jump  confidence=0.88 latency=66ms
#0031 x=0556 action=right_run_jump  confidence=0.88 latency=66ms
#0032 x=0580 action=right_run_jump  confidence=0.88 latency=66ms
#0033 x=0604 action=right_run_jump  confidence=0.88 latency=65ms
